name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Agent Evaluation,,https://awslabs.github.io/agent-evaluation/,logos/400e4d0634dcd7b05d6b2031efe427761025d0c449189e8bfb4cd7ae797ecc0b.png,,,,,,,Apache License 2.0,,A generative AI-powered framework for testing virtual agents.,,,,,,,,,,,,Agentic,Evaluations,true,https://github.com/awslabs/agent-evaluation,341,A generative AI-powered framework for testing virtual agents.,2025-12-15,https://github.com/awslabs/agent-evaluation/commit/5e8de2d5af022a13e654542278f12791a80f44aa,2025-03-31,https://github.com/awslabs/agent-evaluation/releases/tag/v0.4.1,2024-03-19,https://github.com/awslabs/agent-evaluation/commit/e9b033ab238c952f1a1976a7cf10dcba26fd1679,16,https://github.com/awslabs/agent-evaluation/graphs/contributors,,,,,,,,,,,,
Agent Gateway,,https://agentgateway.dev/,logos/ac86ef3f7dc9bbfa544eb7502a35970261e387210cc6e4ee4f7a0db547b60a98.svg,,,,,,,Apache License 2.0,,Next Generation Agentic Proxy for AI Agents and MCP servers,,,,,,,,,,,,Agentic,Agentic Gateways,true,https://github.com/agentgateway/agentgateway,1784,Next Generation Agentic Proxy for AI Agents and MCP servers,2026-02-23,https://github.com/agentgateway/agentgateway/commit/2ac141f36dc93c6c7cc155263b45f0777645e284,2026-02-09,https://github.com/agentgateway/agentgateway/releases/tag/v0.12.0,2025-03-18,https://github.com/agentgateway/agentgateway/commit/9cfc661abdbdaf43fe857a920a6dce1897a9acae,99,https://github.com/agentgateway/agentgateway/graphs/contributors,,,,,,,,,,,,
Agent2Agent Protocol,,https://a2a-protocol.org/,logos/375da68f6a4d19dec468552aa45c688a45a0a3b3f14bafe8baabd20d61ed3569.svg,,,,,,,Apache License 2.0,,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,,,,,,,,,,,,Agentic,Agent Protocols,true,https://github.com/a2aproject/A2A,22057,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,2026-02-18,https://github.com/a2aproject/A2A/commit/629190aea9fe5838bb712008e6d24156680af197,2025-07-30,https://github.com/a2aproject/A2A/releases/tag/v0.3.0,2025-03-25,https://github.com/a2aproject/A2A/commit/47b436f3d469f1763a982518cfe3fcc17a6d1818,129,https://github.com/a2aproject/A2A/graphs/contributors,,,,,,,,,,,,
Agno,,https://www.agno.com/,logos/859de9c01e2f2b738187a3686d228bd21e6d2d49401bdc005f997f3dc11b30f9.png,,,,,,,Apache License 2.0,,"The programming language for agentic software. Build, run, and manage multi-agent systems at scale.",,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/agno-agi/agno,38124,"The programming language for agentic software. Build, run, and manage multi-agent systems at scale.",2026-02-23,https://github.com/agno-agi/agno/commit/7c01830c03e3fae3eff3ee3186610afab5a052bd,2026-02-19,https://github.com/agno-agi/agno/releases/tag/v2.5.3,2023-11-24,https://github.com/agno-agi/agno/commit/792c6ed9428a296b3fa0b62c628e1acc648187c9,392,https://github.com/agno-agi/agno/graphs/contributors,,,,,,,,,,,,
Aider,,https://aider.chat/,logos/bd08d748238212ac89840a15ef8976093ff9861564d860fb405efc1cd3421eda.png,,,,,,,Apache License 2.0,,aider is AI pair programming in your terminal,,,,,,,,,,,,Agentic,Coding Agents,true,https://github.com/Aider-AI/aider,40870,aider is AI pair programming in your terminal,2026-02-19,https://github.com/Aider-AI/aider/commit/7afaa26f8b8b7b56146f0674d2a67e795b616b7c,2025-08-09,https://github.com/Aider-AI/aider/releases/tag/v0.86.0,2023-04-04,https://github.com/Aider-AI/aider/commit/41aed411ea2ba2544d10f23ec30d6089056e8953,179,https://github.com/Aider-AI/aider/graphs/contributors,,,,,,,,,,,,
Apache AGE,,https://age.apache.org/,logos/5daea6b280cfdf9138a615db95ceb27d141a73b4c13ddd08a786aa0fa3234be4.png,,,,,,,Apache License 2.0,,Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL.,,,,,,,,,,,,Infrastructure,Knowledge Graphs,true,https://github.com/apache/age,4238,Graph database optimized for fast analysis and real-time data processing. It is provided as an extension to PostgreSQL.,2026-02-16,https://github.com/apache/age/commit/3c4d9cc7456703f37d3f2d02e4cc79731b06542a,2026-01-21,https://github.com/apache/age/releases/tag/PG18/v1.7.0-rc0,2019-03-17,https://github.com/apache/age/commit/bef50e5d86d45707806f5733695a229f3e295b1a,98,https://github.com/apache/age/graphs/contributors,,,,,,,,,,,,
Arize Phoenix,,https://arize.com/docs/phoenix,logos/e03f349ff70aa8da06ee16bdd9e5e750a2259fa8bbfd37e212c36b506d37c6aa.svg,,,,,,,Other,,AI Observability & Evaluation,,,,,,,,,,,,Agentic,Observability,true,https://github.com/Arize-ai/phoenix,8634,AI Observability & Evaluation,2026-02-23,https://github.com/Arize-ai/phoenix/commit/96608d1ea2160927a5b2e88a0b4d1bb5674f77c3,2026-02-20,https://github.com/Arize-ai/phoenix/releases/tag/arize-phoenix-v13.3.0,2022-11-09,https://github.com/Arize-ai/phoenix/commit/36945b4ecbc3237e9119996aaa3f3d5f639cd2d4,152,https://github.com/Arize-ai/phoenix/graphs/contributors,,,,,,,,,,,,
Autogen,,https://microsoft.github.io/autogen/,logos/8181fc413d64251d2a0aab17f5998b084146cc90eccf625ed14f19b739620556.svg,,,,,,,Creative Commons Attribution 4.0 International,,A programming framework for agentic AI,,,,,,,,,,,,Agentic,Frameworks,true,https://github.com/microsoft/autogen,54735,A programming framework for agentic AI,2025-10-04,https://github.com/microsoft/autogen/commit/13e144e5476a76ca0d76bf4f07a6401d133a03ed,2025-09-30,https://github.com/microsoft/autogen/releases/tag/python-v0.7.5,2020-12-04,https://github.com/microsoft/autogen/commit/492990655d09a144d99e91de4dedda761a70302e,532,https://github.com/microsoft/autogen/graphs/contributors,,,,,,,,,,,,
Axolotl,,https://github.com/axolotl-ai-cloud/axolotl,logos/b90e5b724d538a17145745ab93306b0824dd2d14c50c5383f1fdccf51c2f3c7f.png,,,,,,,Apache License 2.0,,Go ahead and axolotl questions,,,,,,,,,,,,LLMs,Fine-tuning,true,https://github.com/axolotl-ai-cloud/axolotl,11320,Go ahead and axolotl questions,2026-02-23,https://github.com/axolotl-ai-cloud/axolotl/commit/08441fed17968fc92c901f1ef71934942316f634,2026-01-30,https://github.com/axolotl-ai-cloud/axolotl/releases/tag/v0.14.0,2023-04-13,https://github.com/axolotl-ai-cloud/axolotl/commit/e9da4b9a3066d87a707e3221bf326703613f743c,223,https://github.com/axolotl-ai-cloud/axolotl/graphs/contributors,,,,,,,,,,,,
Browser Use,,https://browser-use.com/,logos/c7d5fb5b1994a10110017f8bc5cdcb05e484325893707f2ee565deaa62014ffe.png,,,,,,,MIT License,,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,,,,,,,,,,,,Agentic,Tool Integration,true,https://github.com/browser-use/browser-use,78811,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,2026-02-23,https://github.com/browser-use/browser-use/commit/774e83843ee72249f6a8b887c364538c0181fc9a,2026-02-23,https://github.com/browser-use/browser-use/releases/tag/0.11.12,2024-10-31,https://github.com/browser-use/browser-use/commit/eeb91764d18f716364b8167ee714494581c5e7ad,304,https://github.com/browser-use/browser-use/graphs/contributors,,,,,,,,,,,,
